order_id,customer_id,order_date,status
ORD00198,CUST0485,2024-01-14,Processing
ORD00199,CUST0028,2023-11-25,Delivered
ORD00200,CUST0714,2024-06-13,Returned
ORD00201,CUST0039,2024-11-13,Delivered
ORD00202,CUST0953,2024-02-22,Delivered
ORD00203,CUST0273,2023-09-12,Delivered
ORD00204,CUST0231,2023-03-18,Delivered
ORD00205,CUST0086,2024-08-24,Delivered
ORD00206,CUST0474,2023-11-25,Delivered
ORD00207,CUST0126,2023-12-15,Delivered
ORD00208,CUST0812,2024-08-27,Delivered
ORD00209,CUST0537,2023-04-12,Shipped
ORD00210,CUST0145,2023-05-24,Shipped
ORD00211,CUST0525,2023-01-22,Shipped
ORD00212,CUST0212,2024-09-01,Delivered
ORD00213,CUST0025,2023-04-04,Delivered
ORD00214,CUST0580,2023-07-22,Shipped
ORD00215,CUST0394,2023-04-02,Delivered
ORD00216,CUST0067,2024-07-18,Delivered
ORD00217,CUST0233,2023-11-25,Processing
ORD00218,CUST0109,2023-03-10,Processing
ORD00219,CUST0146,2023-11-24,Delivered
ORD00220,CUST0111,2024-08-25,Delivered
ORD00221,CUST0228,2024-04-05,Shipped
ORD00222,CUST0111,2023-06-09,Delivered
ORD00223,CUST0470,2023-08-19,Processing
ORD00224,CUST0034,2023-09-14,Shipped
ORD00225,CUST0623,2024-01-12,Processing
ORD00226,CUST0776,2024-11-11,Delivered
ORD00227,CUST0936,2024-06-10,Delivered
ORD00228,CUST0369,2024-03-18,Shipped
ORD00229,CUST0748,2024-04-08,Shipped
ORD00230,CUST0595,2024-11-05,Shipped
ORD00231,CUST0554,2024-12-18,Delivered
ORD00232,CUST0425,2024-12-18,Delivered
ORD00233,CUST0613,2023-06-09,Cancelled
ORD00234,CUST0518,2023-05-03,Shipped
ORD00235,CUST0692,2024-11-03,Cancelled
ORD00236,CUST0282,2023-01-13,Shipped
ORD00237,CUST0320,2023-12-07,Delivered
ORD00238,CUST0738,2023-07-28,Shipped
ORD00239,CUST0443,2024-05-01,Cancelled
ORD00240,CUST0952,2023-12-24,Delivered
ORD00241,CUST0315,2023-10-25,Shipped
ORD00242,CUST0877,2024-12-23,Delivered
ORD00243,CUST0966,2023-06-08,Delivered
ORD00244,CUST0741,2024-11-13,Shipped
ORD00245,CUST0377,2024-08-12,Delivered
ORD00246,CUST0289,2024-04-17,Delivered
ORD00247,CUST0437,2024-07-26,Delivered
ORD00248,CUST0662,2024-11-11,Delivered
ORD00249,CUST0277,2023-06-14,Delivered
ORD00250,CUST0710,2023-08-08,Delivered
ORD00251,CUST0582,2023-01-18,Cancelled
ORD00252,CUST0503,2024-05-07,Delivered
ORD00253,CUST0624,2024-04-19,Delivered
ORD00254,CUST0516,2023-07-21,Delivered
ORD00255,CUST0350,2024-04-27,Shipped
ORD00256,CUST0843,2024-12-21,Delivered
ORD00257,CUST0446,2024-07-24,Processing
ORD00258,CUST0830,2024-03-24,Shipped
ORD00259,CUST0350,2024-03-18,Processing
ORD00260,CUST0607,2023-08-27,Delivered
ORD00261,CUST0664,2023-12-22,Shipped
ORD00262,CUST0823,2023-11-14,Delivered
ORD00263,CUST0137,2023-11-08,Cancelled
ORD00264,CUST0759,2023-10-01,Shipped
ORD00265,CUST0899,2023-08-12,Delivered
ORD00266,CUST0243,2023-09-22,Delivered
ORD00267,CUST0543,2024-09-01,Delivered
ORD00268,CUST0040,2023-08-14,Shipped
ORD00269,CUST0229,2023-01-24,Delivered
ORD00270,CUST0548,2024-08-10,Delivered
ORD00271,CUST0920,2023-08-23,Delivered
ORD00272,CUST0223,2024-11-06,Shipped
ORD00273,CUST0006,2023-12-17,Processing
ORD00274,CUST0322,2023-04-20,Processing
ORD00275,CUST0468,2024-11-09,Shipped
ORD00276,CUST0732,2024-02-13,Delivered
ORD00277,CUST0075,2024-08-23,Delivered
ORD00278,CUST0004,2023-05-27,Shipped
ORD00279,CUST0847,2023-09-28,Delivered
ORD00280,CUST0646,2023-02-13,Delivered
ORD00281,CUST0118,2024-08-02,Delivered
ORD00282,CUST0881,2023-10-03,Delivered
ORD00283,CUST0606,2024-11-21,Delivered
ORD00284,CUST0504,2024-08-28,Cancelled
ORD00285,CUST0998,2023-12-02,Delivered
ORD00286,CUST0947,2023-04-28,Delivered
ORD00287,CUST0574,2024-05-03,Delivered
ORD00288,CUST0441,2024-12-19,Shipped
ORD00289,CUST0194,2023-03-28,Delivered
ORD00290,CUST0847,2024-01-07,Cancelled
ORD00291,CUST0715,2023-11-23,Cancelled
ORD00292,CUST0392,2024-12-10,Delivered
ORD00293,CUST0026,2023-08-19,Cancelled
ORD00294,CUST0435,2024-10-18,Returned
ORD00295,CUST0173,2024-06-24,Processing
ORD00296,CUST0300,2023-11-23,Processing
ORD00297,CUST0645,2023-08-12,Delivered
ORD00298,CUST0326,2023-02-08,Delivered
ORD00299,CUST0410,2023-05-25,Delivered
ORD00300,CUST0118,2024-12-11,Delivered
ORD00301,CUST0836,2023-09-26,Returned
ORD00302,CUST0787,2024-07-12,Delivered
ORD00303,CUST0724,2024-07-22,Shipped
ORD00304,CUST0225,2024-02-20,Processing
ORD00305,CUST0532,2024-11-23,Processing
ORD00306,CUST0113,2023-02-05,Returned
ORD00307,CUST0140,2024-10-21,Delivered
ORD00308,CUST0559,2023-10-11,Delivered
ORD00309,CUST0001,2024-02-01,Delivered
ORD00310,CUST0090,2024-07-25,Delivered
ORD00311,CUST0654,2024-02-03,Delivered
ORD00312,CUST0320,2023-07-18,Delivered
ORD00313,CUST0550,2024-02-03,Processing
ORD00314,CUST0805,2024-08-20,Delivered
ORD00315,CUST0894,2024-11-01,Delivered
ORD00316,CUST0139,2024-06-25,Shipped
ORD00317,CUST0511,2023-10-18,Delivered
ORD00318,CUST0868,2023-08-06,Delivered
ORD00319,CUST0845,2024-03-09,Shipped
ORD00320,CUST0259,2024-04-05,Shipped
ORD00321,CUST0673,2023-03-09,Shipped
ORD00322,CUST0902,2024-05-26,Delivered
ORD00323,CUST0690,2023-06-08,Processing
ORD00324,CUST0010,2024-09-07,Delivered
ORD00325,CUST0261,2024-02-10,Delivered
ORD00326,CUST0919,2023-12-11,Shipped
ORD00327,CUST0650,2024-11-11,Processing
ORD00328,CUST0172,2024-05-27,Delivered
ORD00329,CUST0898,2023-05-20,Delivered
ORD00330,CUST0013,2023-07-06,Returned
ORD00331,CUST0168,2024-12-10,Shipped
ORD00332,CUST0642,2024-12-26,Delivered
ORD00333,CUST0596,2023-05-09,Shipped
ORD00334,CUST0321,2024-06-19,Delivered
ORD00335,CUST0319,2023-09-18,Delivered
ORD00336,CUST0613,2023-10-18,Delivered
ORD00337,CUST0329,2023-12-15,Cancelled
ORD00338,CUST0785,2023-07-10,Cancelled
ORD00339,CUST0777,2023-11-26,Delivered
ORD00340,CUST0971,2024-10-05,Delivered
ORD00341,CUST0911,2024-04-22,Delivered
ORD00342,CUST0920,2023-10-26,Returned
ORD00343,CUST0550,2024-02-20,Returned
ORD00344,CUST0419,2024-09-18,Shipped
ORD00345,CUST0606,2024-08-26,Processing
ORD00346,CUST0095,2024-10-26,Shipped
ORD00347,CUST0817,2023-02-08,Delivered
ORD00348,CUST0581,2024-03-20,Delivered
ORD00349,CUST0318,2023-08-21,Delivered
ORD00350,CUST0956,2024-12-11,Shipped
ORD00351,CUST0236,2024-02-04,Shipped
ORD00352,CUST0946,2024-04-24,Delivered
ORD00353,CUST0334,2023-07-13,Cancelled
ORD00354,CUST0885,2024-11-19,Delivered
ORD00355,CUST0376,2023-05-01,Delivered
ORD00356,CUST0459,2024-02-14,Shipped
ORD00357,CUST0137,2023-02-24,Shipped
ORD00358,CUST0930,2023-05-11,Shipped
ORD00359,CUST0588,2024-11-17,Delivered
ORD00360,CUST0995,2024-05-04,Delivered
ORD00361,CUST0547,2024-10-15,Shipped
ORD00362,CUST0513,2024-02-02,Delivered
ORD00363,CUST0296,2023-01-11,Delivered
ORD00364,CUST0320,2023-10-06,Shipped
ORD00365,CUST0918,2023-08-18,Delivered
ORD00366,CUST0572,2023-05-14,Shipped
ORD00367,CUST0832,2024-04-13,Processing
ORD00368,CUST0349,2023-03-22,Delivered
ORD00369,CUST0840,2024-06-24,Delivered
ORD00370,CUST0779,2023-07-14,Processing
ORD00371,CUST0873,2024-01-07,Delivered
ORD00372,CUST0229,2023-05-23,Shipped
ORD00373,CUST0270,2023-08-26,Processing
ORD00374,CUST0828,2023-06-07,Processing
ORD00375,CUST0798,2024-02-22,Returned
ORD00376,CUST0291,2024-08-21,Delivered
ORD00377,CUST0725,2024-09-20,Delivered
ORD00378,CUST0165,2024-09-12,Delivered
ORD00379,CUST0005,2024-11-20,Delivered
ORD00380,CUST0851,2023-11-23,Delivered
ORD00381,CUST0379,2024-12-19,Delivered
ORD00382,CUST0078,2023-10-11,Cancelled
ORD00383,CUST0410,2023-04-04,Delivered
ORD00384,CUST0574,2023-06-05,Delivered
ORD00385,CUST0132,2024-06-05,Delivered
ORD00386,CUST0601,2024-06-16,Delivered
ORD00387,CUST0749,2023-08-16,Delivered
ORD00388,CUST0042,2024-03-11,Delivered
ORD00389,CUST0089,2024-09-28,Delivered
ORD00390,CUST0402,2024-12-16,Delivered
ORD00391,CUST0296,2023-04-13,Cancelled
ORD00392,CUST0840,2024-06-16,Cancelled
ORD00393,CUST0295,2024-10-15,Shipped
ORD00394,CUST0616,2024-03-19,Delivered
ORD00395,CUST0526,2023-11-08,Processing
ORD00396,CUST0800,2024-01-08,Cancelled
ORD00397,CUST0691,2024-03-15,Delivered
ORD00398,CUST0637,2024-08-04,Shipped
ORD00399,CUST0422,2023-04-18,Delivered
ORD00400,CUST0865,2024-08-25,Processing
ORD00401,CUST0023,2023-11-15,Returned
ORD00402,CUST0575,2023-12-04,Delivered
ORD00403,CUST0143,2023-05-02,Cancelled
ORD00404,CUST0993,2024-04-28,Shipped
ORD00405,CUST0665,2023-07-04,Returned
ORD00406,CUST0145,2023-04-24,Delivered
ORD00407,CUST0225,2024-11-20,Processing
ORD00408,CUST0503,2024-03-05,Delivered
ORD00409,CUST0962,2023-11-26,Delivered
ORD00410,CUST0974,2023-08-18,Delivered
ORD00411,CUST0821,2024-09-06,Returned
ORD00412,CUST0616,2024-12-10,Processing
ORD00413,CUST0104,2024-08-28,Processing
ORD00414,CUST0947,2023-03-25,Cancelled
ORD00415,CUST0039,2024-12-09,Delivered
ORD00416,CUST0947,2023-10-05,Delivered
ORD00417,CUST0198,2023-03-11,Delivered
ORD00418,CUST0646,2023-11-22,Delivered
ORD00419,CUST0579,2024-07-19,Delivered
ORD00420,CUST0391,2024-09-13,Delivered
ORD00421,CUST0179,2024-02-26,Delivered
ORD00422,CUST0968,2023-06-24,Delivered
ORD00423,CUST0554,2024-10-12,Delivered
ORD00424,CUST0448,2024-12-11,Delivered
ORD00425,CUST0500,2023-11-28,Returned
ORD00426,CUST0015,2023-10-15,Shipped
ORD00427,CUST0623,2024-11-26,Returned
ORD00428,CUST0669,2024-04-14,Delivered
ORD00429,CUST0289,2023-07-11,Delivered
ORD00430,CUST0478,2024-05-19,Processing
ORD00431,CUST0231,2023-08-16,Delivered
ORD00432,CUST0923,2024-12-25,Delivered
ORD00433,CUST0420,2023-01-21,Delivered
ORD00434,CUST0157,2024-01-28,Delivered
ORD00435,CUST0550,2023-07-01,Delivered
ORD00436,CUST0441,2024-04-23,Delivered
ORD00437,CUST0097,2023-12-10,Shipped
ORD00438,CUST0997,2023-12-09,Delivered
ORD00439,CUST0411,2023-09-09,Delivered
ORD00440,CUST0951,2023-06-21,Processing
ORD00441,CUST0289,2023-01-21,Delivered
ORD00442,CUST0254,2024-10-25,Delivered
ORD00443,CUST0196,2023-06-03,Processing
ORD00444,CUST0598,2023-01-16,Delivered
ORD00445,CUST0834,2023-03-08,Delivered
ORD00446,CUST0522,2024-01-23,Delivered
ORD00447,CUST0517,2024-11-28,Delivered
ORD00448,CUST0635,2024-10-16,Delivered
ORD00449,CUST0842,2023-04-03,Processing
ORD00450,CUST0865,2023-02-12,Delivered
ORD00451,CUST0118,2024-03-25,Delivered
ORD00452,CUST0806,2023-09-22,Delivered
ORD00453,CUST0909,2023-02-19,Delivered
ORD00454,CUST0159,2023-09-06,Shipped
ORD00455,CUST0815,2024-06-07,Delivered
ORD00456,CUST0228,2023-12-20,Delivered
ORD00457,CUST0877,2024-11-03,Delivered
ORD00458,CUST0216,2023-03-04,Delivered
ORD00459,CUST0948,2024-06-14,Delivered
ORD00460,CUST0696,2024-11-08,Processing
ORD00461,CUST0015,2024-09-08,Delivered
ORD00462,CUST0157,2024-11-23,Delivered
ORD00463,CUST0648,2023-11-22,Delivered
ORD00464,CUST0261,2024-04-20,Shipped
ORD00465,CUST0157,2023-10-10,Delivered
ORD00466,CUST0047,2023-11-26,Shipped
ORD00467,CUST0324,2023-07-04,Processing
ORD00468,CUST0844,2023-07-20,Processing
ORD00469,CUST0685,2023-08-01,Delivered
ORD00470,CUST0130,2024-12-05,Delivered
ORD00471,CUST0411,2024-11-19,Processing
ORD00472,CUST0095,2024-06-22,Returned
ORD00473,CUST0627,2023-11-25,Cancelled
ORD00474,CUST0755,2023-01-03,Delivered
ORD00475,CUST0932,2023-04-02,Delivered
ORD00476,CUST0292,2023-12-13,Delivered
ORD00477,CUST0794,2024-09-17,Shipped
ORD00478,CUST0811,2024-06-13,Delivered
ORD00479,CUST0283,2023-09-18,Delivered
ORD00480,CUST0069,2023-05-10,Processing
ORD00481,CUST0660,2023-08-07,Delivered
ORD00482,CUST0011,2023-08-13,Processing
ORD00483,CUST0254,2023-05-14,Delivered
ORD00484,CUST0842,2023-01-03,Delivered
ORD00485,CUST0872,2024-02-20,Delivered
ORD00486,CUST0550,2023-05-24,Shipped
ORD00487,CUST0134,2023-02-23,Delivered
ORD00488,CUST0712,2023-10-06,Delivered
ORD00489,CUST0023,2024-12-17,Cancelled
ORD00490,CUST0815,2024-03-05,Delivered
ORD00491,CUST0346,2024-10-04,Delivered
ORD00492,CUST0302,2023-05-14,Delivered
ORD00493,CUST0363,2024-08-09,Delivered
ORD00494,CUST0396,2023-07-17,Shipped
ORD00495,CUST0218,2024-01-28,Delivered
ORD00496,CUST0141,2023-06-09,Delivered
ORD00497,CUST0616,2023-12-22,Delivered
ORD00498,CUST0958,2023-04-17,Shipped
ORD00499,CUST0210,2023-01-28,Delivered
ORD00500,CUST0985,2023-04-16,Delivered
ORD00501,CUST0993,2024-06-05,Delivered
ORD00502,CUST0623,2023-12-28,Delivered
ORD00503,CUST0616,2023-08-23,Delivered
ORD00504,CUST0828,2024-04-08,Delivered
ORD00505,CUST0683,2024-12-11,Processing
ORD00506,CUST0460,2024-11-19,Delivered
ORD00507,CUST0356,2024-02-22,Cancelled
ORD00508,CUST0324,2023-03-26,Returned
ORD00509,CUST0133,2023-12-03,Delivered
ORD00510,CUST0888,2024-11-25,Delivered
ORD00511,CUST0805,2024-05-18,Delivered
ORD00512,CUST0840,2024-01-07,Processing
ORD00513,CUST0127,2024-08-10,Delivered
ORD00514,CUST0106,2023-07-19,Delivered
ORD00515,CUST0604,2024-12-25,Delivered
ORD00516,CUST0799,2023-10-18,Processing
ORD00517,CUST0378,2023-03-14,Processing
ORD00518,CUST0905,2023-04-12,Delivered
ORD00519,CUST0051,2023-12-01,Shipped
ORD00520,CUST0029,2024-11-24,Delivered
ORD00521,CUST0462,2024-02-17,Delivered
ORD00522,CUST0296,2023-06-02,Cancelled
ORD00523,CUST0297,2023-10-03,Delivered
ORD00524,CUST0726,2023-12-28,Delivered
ORD00525,CUST0779,2024-10-12,Delivered
ORD00526,CUST0407,2024-12-03,Cancelled
ORD00527,CUST0769,2023-08-21,Processing
ORD00528,CUST0814,2024-02-19,Shipped
ORD00529,CUST0613,2023-07-05,Shipped
ORD00530,CUST0405,2023-05-28,Delivered
ORD00531,CUST0346,2024-12-13,Delivered
ORD00532,CUST0622,2024-05-09,Delivered
ORD00533,CUST0420,2023-02-07,Delivered
ORD00534,CUST0182,2023-11-19,Delivered
ORD00535,CUST0983,2023-03-06,Cancelled
ORD00536,CUST0825,2024-07-14,Delivered
ORD00537,CUST0001,2023-08-25,Delivered
ORD00538,CUST0831,2023-07-15,Delivered
ORD00539,CUST0950,2024-11-03,Delivered
ORD00540,CUST0567,2023-11-10,Cancelled
ORD00541,CUST0371,2023-04-28,Delivered
ORD00542,CUST0936,2024-03-23,Delivered
ORD00543,CUST0911,2023-12-13,Shipped
ORD00544,CUST0661,2023-10-09,Delivered
ORD00545,CUST0431,2023-01-13,Delivered
ORD00546,CUST0969,2024-08-18,Delivered
ORD00547,CUST0309,2023-02-04,Delivered
ORD00548,CUST0137,2023-03-02,Returned
ORD00549,CUST0202,2023-03-27,Shipped
ORD00550,CUST0436,2024-06-21,Delivered
ORD00551,CUST0313,2023-09-09,Processing
ORD00552,CUST0117,2023-01-03,Delivered
ORD00553,CUST0666,2023-12-15,Delivered
ORD00554,CUST0937,2023-02-28,Delivered
ORD00555,CUST0803,2024-03-15,Delivered
ORD00556,CUST0575,2023-03-19,Delivered
ORD00557,CUST0244,2024-11-13,Delivered
ORD00558,CUST0537,2024-01-22,Cancelled
ORD00559,CUST0602,2024-03-07,Delivered
ORD00560,CUST0075,2023-05-15,Delivered
ORD00561,CUST0806,2023-01-20,Delivered
ORD00562,CUST0386,2023-09-16,Delivered
ORD00563,CUST0903,2024-12-16,Delivered
ORD00564,CUST0210,2023-02-13,Delivered
ORD00565,CUST0475,2023-06-21,Processing
ORD00566,CUST0418,2023-09-26,Delivered
ORD00567,CUST0347,2023-12-26,Delivered
ORD00568,CUST0529,2024-07-26,Delivered
ORD00569,CUST0640,2024-05-19,Delivered
ORD00570,CUST0939,2024-06-06,Delivered
ORD00571,CUST0955,2023-05-08,Shipped
ORD00572,CUST0876,2023-12-25,Delivered
ORD00573,CUST0763,2024-01-16,Delivered
ORD00574,CUST0179,2024-11-08,Delivered
ORD00575,CUST0182,2023-02-22,Delivered
ORD00576,CUST0664,2023-04-27,Delivered
ORD00577,CUST0025,2023-11-08,Processing
ORD00578,CUST0967,2024-06-27,Delivered
ORD00579,CUST0180,2023-03-19,Shipped
ORD00580,CUST0710,2024-11-23,Delivered
ORD00581,CUST0501,2024-12-01,Processing
ORD00582,CUST0856,2024-12-19,Delivered
ORD00583,CUST0161,2023-08-07,Shipped
